id,asset_uri,event_type,asset_type
34362307,/news/uk-england-cambridgeshire-34362307,PUBLISH,STY,
34333470,/news/world-asia-34333470,PUBLISH,STY,
34373411,/news/entertainment-arts-34373411,PUBLISH,STY,
34375675,/news/entertainment-arts-34375675,PUBLISH,STY,
34372188,/news/world-asia-china-34372188,PUBLISH,STY,
34377013,/news/world-us-canada-34377013,PUBLISH,STY,
34364616,/news/uk-wales-34364616,PUBLISH,STY,
34376778,/news/world-asia-india-34376778,PUBLISH,STY,
34373744,/news/uk-england-tyne-34373744,PUBLISH,STY,
34375058,/news/uk-england-cumbria-34375058,PUBLISH,STY,
28422179,/news/world-asia-28422179,PUBLISH,STY,
34376356,/news/uk-northern-ireland-34376356,PUBLISH,STY,
34312125,/news/health-34312125,PUBLISH,STY,
34376927,/news/business-34376927,PUBLISH,STY,
34377313,/news/uk-england-sussex-34377313,PUBLISH,STY,
34376771,/news/world-us-canada-34376771,PUBLISH,STY,
34377265,/news/uk-northern-ireland-34377265,PUBLISH,STY,
34271002,/news/world-europe-34271002,PUBLISH,STY,
34377223,/news/world-asia-india-34377223,PUBLISH,STY,
34374374,/news/uk-england-london-34374374,PUBLISH,STY,
34377404,/news/world-asia-34377404,PUBLISH,STY,
34374041,/news/uk-england-lancashire-34374041,PUBLISH,STY,
34339499,/news/uk-england-tyne-34339499,PUBLISH,STY,
34377233,/news/uk-england-cornwall-34377233,PUBLISH,STY,
34356604,/news/science-environment-34356604,PUBLISH,STY,
34376709,/news/world-australia-34376709,PUBLISH,STY,
34375702,/news/uk-politics-34375702,PUBLISH,STY,
34356770,/news/technology-34356770,PUBLISH,STY,
34364808,/news/uk-england-bristol-34364808,PUBLISH,STY,
34377176,/news/uk-wales-south-west-wales-34377176,PUBLISH,STY,
34206544,/news/uk-england-essex-34206544,PUBLISH,STY,
34373741,/news/uk-england-tees-34373741,PUBLISH,STY,
34352263,/news/uk-scotland-34352263,PUBLISH,STY,
34377322,/news/uk-england-surrey-34377322,PUBLISH,STY,
